counties,devpressure_0_5_92,slope,road_dens_perc,forest_1992_smooth_perc,dist_water_mi,dist_to_protected_mi,dist_interchanges_mi,view_size
69,0,0.8410304,0,0,0,19.9357305843824,10.4630905992264,
69,0,0.1240759,0,0,0,20.0920069535315,10.4399648680096,
69,0,0.476217,4.08163265306122,0,0,17.8196182832518,11.3598725059701,
69,0,,2.04081632653061,14.8648648648649,0,2.07440866305437,49.8419000691538,
69,0,,0,2.56410256410256,0,3.26464314185606,49.2767317611512,
69,0,0.2080186,0,0,0,18.1984967301632,11.0417810020965,
69,,,2.04081632653061,36.4864864864865,0,5.50947864353937,47.357740084233,
69,0,0.5660415,0,16.8316831683168,0,6.93905274361514,20.3602359384281,0.0001
69,0,0.3564913,3.6281179138322,0,0,17.4384958470082,11.6346856339046,0.0001
69,0,0.2045459,0,0,0,20.0732521880423,10.3709508675769,
69,0,0.5023454,0,0,0,4.53053096914215,48.4794212537529,0.9187
69,0,0.8741804,0,3.73134328358209,0,10.9862554123783,16.8156910807603,0.0001
69,0,0.1377816,0,0,0,18.3446333480985,10.8722118528448,0.0001
69,0,0.2133146,2.49433106575964,0,0,2.69324843371316,45.6148412698537,0.0001
69,0,0.488894,0,34.5454545454545,0,3.53555011879649,23.9645775312455,0.0001
69,0,0.6434995,4.30839002267574,5.78512396694215,0,5.89366494931603,21.3325147553676,0.0001
69,0,2.130014,1.58730158730159,42.5531914893617,0,10.0291509415942,17.5939709167315,0.0001
69,0,0.1891209,4.53514739229025,0,0,0.493097141217843,50.5530839856864,15.5475
69,0,1.213458,0,41.6666666666667,0,0.068013398788668,28.8052239764845,0.0001
69,0,0.9265186,4.30839002267574,5.88235294117647,0,2.9196589230967,24.7738616704967,0.0001
69,0,0.390835,0,0,0,5.07738047562404,48.0260613455294,2.601
69,0,0.9651391,4.53514739229025,0,0,5.74109370378405,47.4194021854891,19.9007
69,0,1.394479,4.98866213151927,6.10687022900763,0,2.79898118670892,24.8905973741635,0.0001
69,0,0.4621726,0,0,0,17.9667552244958,11.0479756536894,0.0001
69,0,0.6930712,0,0,0,18.0422673058332,10.9930807496873,0.0001
69,0,0.3744493,0,0,0,4.97900086169865,48.0676477511017,10.8694
69,0,0.174148,0,0,0,2.55044957217893,45.2568379508224,0.0001
69,0,1.460162,1.58730158730159,0,0,3.18788959706479,24.4044267384855,0.0001
69,0,0.2077313,4.08163265306122,0,0,8.46869222905976,18.8981341310047,0.0001
69,0,0.7900054,0,2.68456375838926,0,11.5771836709698,16.2703748271318,0.0001
69,0,0.4714632,4.08163265306122,0,0,14.1061105297451,14.3562547188595,0.0001
69,0,0.3620811,0,0,0,2.53487265874635,44.5305545103374,0.0001
69,0,0.4021419,5.66893424036281,0,0,15.3682497174738,13.4593620015464,0.0001
69,0,0.4273013,0,0,0,18.4723224638017,10.6548065108896,0.0001
69,0,0.3172852,4.30839002267574,0,0,2.62931961624218,45.5648446131835,0.0001
69,0,0.186028,0,0,0,2.52011737233186,44.4782596820356,0.0001
69,0,1.221613,0,1.34228187919463,0,5.44024901903549,21.6871777918911,0.0001
69,0,0.9541947,4.98866213151927,0,0,14.3003834844873,14.1896699390676,0.0001
69,0,0.8281532,6.57596371882086,0,0,17.5204988057539,11.3096054892526,0.0001
69,0,0.6848731,0,0,0,2.53401255553818,49.4569821683622,6.1793
69,0,0.9601735,2.26757369614512,14.0939597315436,0,3.50467113317032,42.3106138655659,0.0001
69,0,0.2931276,0,0,0,18.7312191485578,10.4875535032552,0.0001
