year	13	69
2007	7008	8849
2008	7008	8849
2009	7008	8849
2010	7008	8849
2011	7008	8849
2012	7008	8849
2013	7008	8849
2014	7008	8849
2015	7008	8849
2016	7008	8849
2017	7008	8849
2018	7038	9263
2019	7044	9190
2020	7086	9195
2021	7133	9213
2022	7188	9872
2023	8240	9918
2024	8283	9899
2025	8340	9878
2026	8398	9859
2027	8420	9709
2028	7430	9231
2029	8006	9197
2030	7974	9144
2031	7935	9087
2032	7876	9053
2033	7800	8983
2034	7705	8924
2035	7600	8859
2036	7478	8787
2037	7358	8738
2038	7232	8681
2039	7101	8638
2040	6973	8912
2041	6842	9197
2042	6694	9141
2043	6551	9082
2044	6413	9020
2045	6292	8968
2046	6190	8921
2047	6108	8885
2048	6036	8850
2049	5993	8828
2050	5969	8813
